probe	count.ini	count.fil	count.xun	count.uni	count.qc	diagnosis
ANCHsOta1874BP1AK1	587	239	0	167	87	
ANCHsOta1874BP2AK1	443	149	0	112	62	
ANCHsOtb1874BP3CHM13	361	115	0	76	26	
DELHsOtb1141BP0HG04217	305	82	0	48	16	
DELHsOth1122BP0CHM1	2385	1323	0	977	450	
DELHsOth1306BP0HG02818	182	22	0	15	2	
INSHsOta1141BP1HG04217	3944	91	0	54	18	
INSHsOta1141BP2HG04217	3546	90	0	53	19	
INSHsOta1874BP1CHM13	6792	1684	0	1202	468	
INSHsOta1874BP2CHM13	8802	1771	2	1224	476	errorMatches
INSHsOth0154BP1AK1	9087	1847	0	1301	531	
INSHsOth0154BP2AK1	7882	1671	0	1157	478	
INSHsOth0170BP1bNA19129	117	76	0	62	220	
INSHsOth0170BP1aNA12156	1265	737	0	518	220	
INSHsOth0170BP2NA12156	4814	782	0	540	212	
INSHsOth0171BP1NA12878	4529	429	0	332	156	
INSHsOth0171BP2NA12878	4615	509	0	382	180	
INSHsOth0178BP1UNKN	712	116	0	104	76	
INSHsOth0178BP2UNKN	3436	161	0	149	120	
INSHsOth0182BP1NA12878	6385	1281	0	955	469	
INSHsOth0182BP2NA12878	7417	1409	0	1047	509	
INSHsOth0186BP1NA19434	2307	74	0	69	61	
INSHsOth0186BP2NA19434	2439	73	0	65	55	
INSHsOth0211BP1HX1	1041	576	0	438	209	
INSHsOth0211BP2HX1	2672	546	0	418	198	
INSHsOth0224BP1CHM13	5139	715	0	489	170	
INSHsOth0224BP2CHM13	4604	548	0	372	119	
INSHsOth0310BP1CHM13	3401	382	0	228	15	
INSHsOth0310BP2CHM13	3941	411	0	236	22	
INSHsOth0335BP1NA18555	6	2	0	1	0	emptyAlt
INSHsOth0335BP2NA18555	2785	84	3	0	0	emptyAlt,errorMatches
INSHsOth0463BP1YH	5518	734	3	561	301	errorMatches
INSHsOth0463BP2YH	3739	517	20	317	167	errorMatches
INSHsOth0574BP1CHM13	5502	1006	1	671	223	errorMatches
INSHsOth0574BP2CHM13	6241	1327	168	661	212	errorMatches
INSHsOth0589BP1Han1	5783	868	0	647	304	
INSHsOth0589BP2Han1	5430	744	0	554	274	
INSHsOth0612BP1AK1	5533	305	0	206	85	
INSHsOth0612BP2AK1	3713	245	0	168	74	
INSHsOth0968BP1NA18555	227	145	0	102	28	
INSHsOth0968BP2NA18555	139	80	0	39	13	
INSHsOth0987BP1NA12878	1095	631	43	396	150	errorMatches
INSHsOth0987BP2NA12878	1922	785	1	536	195	errorMatches
INSHsOth0997BP1CHM1	6855	999	0	792	419	
INSHsOth0997BP2CHM1	8802	1016	0	787	377	
INSHsOth1004BP1NA12878	7414	1283	0	873	285	
INSHsOth1004BP2NA12878	9913	1188	0	800	254	
INSHsOth1013BP1NA12878	3723	166	0	110	35	
INSHsOth1013BP2NA12878	4853	169	0	104	29	
INSHsOth1112BP1NA12156	2546	388	0	222	58	
INSHsOth1112BP2NA12156	2717	434	0	284	89	
INSHsOth1130BP1AKv2	5768	697	0	512	221	
INSHsOth1130BP2AKv2	5377	900	0	655	292	
INSHsOth1146BP1NA19440	92	70	0	51	32	
INSHsOth1146BP2NA19440	35	19	0	16	11	
INSHsOth1146BP3NA19440	183	73	0	51	27	
INSHsOth1153BP1NA19434	4283	45	0	37	29	
INSHsOth1153BP2NA19434	2469	53	0	46	38	
INSHsOth1216BP1HG02818	544	35	0	20	7	
INSHsOth1216BP2HG02818	152	26	0	16	9	
