probe	count.ini	count.fil	count.xun	count.uni	count.qc	diagnosis
ANCHsOta1874BP1AK1	439	177	0	177	177	
ANCHsOta1874BP2AK1	337	114	0	114	114	
ANCHsOtb1874BP3CHM13	506	129	0	129	129	
DELHsOtb1141BP0HG04217	210	48	0	48	48	
DELHsOth1122BP0CHM1	1811	992	0	992	992	
DELHsOth1306BP0HG02818	263	28	0	28	28	
INSHsOta1141BP1HG04217	2793	55	0	55	55	
INSHsOta1141BP2HG04217	2449	54	0	54	54	
INSHsOta1874BP1CHM13	8571	1768	0	1768	1768	
INSHsOta1874BP2CHM13	11371	1942	4	1938	1938	errorMatches
INSHsOth0154BP1AK1	6627	1313	0	1313	1313	
INSHsOth0154BP2AK1	5547	1164	0	1164	1164	
INSHsOth0170BP1aNA12156	920	526	0	526	588	
INSHsOth0170BP1bNA19129	97	62	0	62	588	
INSHsOth0170BP2NA12156	3339	548	0	548	548	
INSHsOth0171BP1NA12878	3247	337	0	337	337	
INSHsOth0171BP2NA12878	3339	387	0	387	387	
INSHsOth0178BP1UNKN	268	110	0	110	110	
INSHsOth0178BP2UNKN	2492	150	0	150	150	
INSHsOth0182BP1NA12878	4677	980	0	980	980	
INSHsOth0182BP2NA12878	5460	1086	0	1086	1086	
INSHsOth0186BP1NA19434	1660	72	0	72	72	
INSHsOth0186BP2NA19434	1754	65	0	65	65	
INSHsOth0211BP1HX1	799	445	0	445	445	
INSHsOth0211BP2HX1	1916	424	0	424	424	
INSHsOth0224BP1CHM13	3598	499	0	499	499	
INSHsOth0224BP2CHM13	3243	384	0	384	384	
INSHsOth0310BP1CHM13	2258	228	0	228	228	
INSHsOth0310BP2CHM13	2682	237	0	237	237	
INSHsOth0335BP1NA18555	2	1	0	1	1	
INSHsOth0335BP2NA18555	1927	3	3	0	0	emptyAlt,errorMatches
INSHsOth0463BP1YH	4107	575	3	572	572	errorMatches
INSHsOth0463BP2YH	2535	339	20	319	319	errorMatches
INSHsOth0574BP1CHM13	3815	683	1	682	682	errorMatches
INSHsOth0574BP2CHM13	4313	839	168	671	671	errorMatches
INSHsOth0589BP1Han1	4265	664	0	664	664	
INSHsOth0589BP2Han1	3965	566	0	566	566	
INSHsOth0612BP1AK1	4063	207	0	207	207	
INSHsOth0612BP2AK1	2563	168	0	168	168	
INSHsOth0968BP1NA18555	176	109	0	109	109	
INSHsOth0968BP2NA18555	90	42	0	42	42	
INSHsOth0987BP1NA12878	786	439	43	396	396	errorMatches
INSHsOth0987BP2NA12878	1348	541	1	540	540	errorMatches
INSHsOth0997BP1CHM1	5258	798	0	798	798	
INSHsOth0997BP2CHM1	4274	793	0	793	793	
INSHsOth1004BP1NA12878	5237	891	0	891	891	
INSHsOth1004BP2NA12878	6777	809	0	809	809	
INSHsOth1013BP1NA12878	2777	110	0	110	110	
INSHsOth1013BP2NA12878	3313	104	0	104	104	
INSHsOth1112BP1NA12156	1730	224	0	224	224	
INSHsOth1112BP2NA12156	1887	290	0	290	290	
INSHsOth1130BP1AKv2	4149	528	0	528	528	
INSHsOth1130BP2AKv2	3780	664	0	664	664	
INSHsOth1146BP1NA19440	70	51	0	51	51	
INSHsOth1146BP2NA19440	28	16	0	16	16	
INSHsOth1146BP3NA19440	145	51	0	51	51	
INSHsOth1153BP1NA19434	3199	38	0	38	38	
INSHsOth1153BP2NA19434	1684	46	0	46	46	
INSHsOth1216BP1HG02818	422	20	0	20	20	
INSHsOth1216BP2HG02818	102	17	0	17	17	
INSHsOth1225BP1NA18552	2458	159	0	159	159	
INSHsOth1225BP2NA18552	1972	159	0	159	159	
INSHsOth1240BP1CHM13	1854	31	0	31	31	
INSHsOth1240BP2CHM13	1752	32	0	32	32	
INSHsOth1269BP1NA19921	1414	78	0	78	78	
INSHsOth1269BP2NA19921	1933	69	0	69	69	
INSHsOth1275BP1KOREF	1243	75	0	75	75	
INSHsOth1275BP2KOREF	2394	90	0	90	90	
INSHsOth1313BP1CHM13	99	62	0	62	62	
INSHsOth1313BP2CHM13	95	60	0	60	60	
INSHsOth1329BP1HG02818	1730	21	0	21	21	
INSHsOth1329BP2HG02818	1161	15	0	15	15	
INSHsOth1376BP1NA19129	3305	48	0	48	48	
INSHsOth1376BP2NA19129	2652	48	0	48	48	
INSHsOth1408BP1HG03486	2047	69	0	69	69	
INSHsOth1408BP2HG03486	2837	36	0	36	36	
INSHsOth1411BP1CHM13	4350	422	5	417	417	errorMatches
INSHsOth1411BP2CHM13	5116	971	540	431	431	errorMatches
INSHsOth1414BP1CHM1	2431	99	0	99	99	
INSHsOth1414BP2CHM1	2457	73	0	73	73	
INSHsOth1422BP1CHM1	5098	773	0	773	773	
INSHsOth1422BP2CHM1	3480	601	0	601	601	
INSHsOth1425BP1UNKN	2003	11	0	11	11	
INSHsOth1425BP2UNKN	2332	12	0	12	12	
INSHsOth1428BP1NA19434	2840	303	0	303	303	
INSHsOth1428BP2NA19434	5555	310	0	310	310	
INSHsOth1432BP1NA19068	2142	49	0	49	49	
INSHsOth1432BP2NA19068	2163	61	0	61	61	
INSHsOth1454BP1AK1	3192	385	0	385	385	
INSHsOth1454BP2AK1	3907	473	0	473	473	
INSHsOth1468BP1HG02818	2512	8	0	8	8	
INSHsOth1468BP2HG02818	2976	5	0	5	5	
INSHsOth1471BP1HG02623	1409	31	0	31	31	
INSHsOth1471BP2HG02623	1372	27	0	27	27	
INSHsOth1484BP1CHM1	1357	96	0	96	96	
INSHsOth1484BP2CHM1	2390	104	0	104	104	
INSHsOth1497BP1HG00250	2039	112	0	112	112	
INSHsOth1497BP2HG00250	1854	152	0	152	152	
INSHsOth1511BP1CMT001	2059	142	0	142	142	
INSHsOth1511BP2CMT001	2307	131	0	131	131	
INSHsOth1579BP1CMT001	2069	53	0	53	53	
INSHsOth1579BP2CMT001	1888	64	0	64	64	
INSHsOth1614BP1HG02623	5024	99	0	99	99	
INSHsOth1614BP2HG02623	3665	116	0	116	116	
INSHsOth1637BP1HG03486	2006	21	0	21	21	
INSHsOth1637BP2HG03486	1701	26	0	26	26	
INSHsOth1667BP1AK1	3767	412	0	412	412	
INSHsOth1667BP2AK1	3329	421	0	421	421	
INSHsOth1681BP1NA19440	1352	38	0	38	38	
INSHsOth1681BP2NA19440	1308	34	0	34	34	
INSHsOth1700BP1Reads	1982	24	0	24	24	
INSHsOth1700BP2Reads	2488	29	0	29	29	
INSHsOth1751BP1HG00268	2105	103	0	103	103	
INSHsOth1751BP2HG00268	2369	88	0	88	88	
INSHsOth1794BP1NA19434	1380	28	0	28	28	
INSHsOth1794BP2NA19434	1635	0	0	0	0	emptyAlt,allFiltered
INVHsInv0004BP1HuRef	401	227	0	227	227	
INVHsInv0004BP2HuRef	370	207	0	207	207	
INVHsInv0006BP1HuRef	992	546	3	543	543	errorMatches
INVHsInv0006BP2HuRef	498	498	63	435	435	errorMatches
INVHsInv0015BP1HuRef	3906	1154	0	1154	1154	
INVHsInv0015BP2HuRef	3468	1158	0	1158	1158	
INVHsInv0016BP1HuRef	7017	1542	0	1542	1542	
INVHsInv0016BP2HuRef	4783	1224	0	1224	1224	
INVHsInv0041BP1HuRef	2179	408	0	408	408	
INVHsInv0041BP2HuRef	2964	472	0	472	472	
