inversion	orientation	probe	count.ini	count.fil	count.xun	count.uni	count.qc	efficiency.check	diagnosis
HsInv0041	INV	INVHsInv0041BP1HuRef	8496	7304	0	82	0	NA	failedQC
HsInv0041	INV	INVHsInv0041BP2HuRef	8584	7526	0	90	0	NA	failedQC
HsInv0041	STD	STDHsInv0041BP1HG18	6715	5528	29	0	0	NA	failedQC
HsInv0041	STD	STDHsInv0041BP2HG18	5986	4117	12	4	0	NA	failedQC,errorMatches
HsInv0044	INV	INVHsInv0044BP1HuRef	26239	22809	0	115	0	NA	failedQC
HsInv0044	INV	INVHsInv0044BP2HuRef	25805	21380	0	136	0	NA	failedQC
HsInv0113	STD	STDHsInv0113BP1HG38	4763	800	1	0	0	NA	failedQC
HsInv0113	STD	STDHsInv0113BP2HG38	6126	943	2	0	0	NA	failedQC
HsInv0174	INV	INVHsInv0174BP1CHM1	17216	14437	0	14437	14437	1	
HsInv0174	STD	STDHsInv0174BP1HG18	5290	3443	3443	0	3443	1	
HsInv0174	STD	STDHsInv0174BP2NA19240NoDel	2860	2146	1207	939	1207	0.350566366540807	errorMatches
HsInv1264	INV	INVHsInv1264BP1CMT001	1638	626	0	626	626	0.963076923076923	
HsInv1264	INV	INVHsInv1264BP2CMT001	2100	650	0	650	650	1	
HsInv1264	STD	STDHsInv1264BP2HG38	14303	10968	10968	0	10968	1	
HsOta1141	INS	INSHsOta1141BP1HG04217	1841	519	0	519	519	1	
HsOta1141	INS	INSHsOta1141BP2HG04217	1374	513	0	513	513	0.988439306358382	
HsOta1141	REF	REFHsOta1141BP0HG38	15622	11163	11163	0	11163	1	
HsOtb1141	DEL	DELHsOtb1141BP0HG04217	1099	456	0	456	456	1	
HsOtb1141	REF	REFHsOtb1141BP3HG38	16296	11589	11586	3	11586	0.975663157894737	errorMatches
HsOtb1141	REF	REFHsOtb1141BP4HG38	16269	11875	11875	0	11875	1	
HsOth0211	INS	INSHsOth0211BP1HX1	3450	2754	0	2754	2754	0.700228832951945	
HsOth0211	INS	INSHsOth0211BP2HX1	5284	3933	0	3933	3933	1	
HsOth0211	REF	REFHsOth0211BP0HG38	10877	8289	8289	0	8289	1	
HsOth1858	INS	INSHsOth1858BP1HG03486	374	167	0	167	167	1	
HsOth1858	REF	REFHsOth1858BP0CHM13	5867	4228	3706	522	3706	1	errorMatches
