inversion	orientation	probe	count.ini	count.fil	count.xun	count.uni	count.qc	efficiency.check	diagnosis
HsInv0004	INV	INVHsInv0004BP1HuRef	1108	647	0	605	605	0.966453674121406	
HsInv0004	INV	INVHsInv0004BP2HuRef	1079	663	0	626	626	1	
HsInv0004	STD	STDHsInv0004BP1HG18	7761	4790	4703	0	4703	0.973907641333609	
HsInv0004	STD	STDHsInv0004BP2HG18	7861	4919	4829	0	4829	1	
HsInv0006	INV	INVHsInv0006BP1HuRef	2824	1545	11	1498	1498	1	errorMatches
HsInv0006	INV	INVHsInv0006BP2HuRef	1417	1417	174	1215	1215	0.811081441922563	errorMatches
HsInv0006	STD	STDHsInv0006BP1HG18	6477	3148	3080	0	3080	1	
HsInv0006	STD	STDHsInv0006BP2HG18	5363	2446	2391	0	2391	0.776298701298701	
HsInv0015	INV	INVHsInv0015BP1HuRef	11318	3591	0	3527	3527	0.991287240022485	
HsInv0015	INV	INVHsInv0015BP2HuRef	10364	3636	0	3558	3558	1	
HsInv0015	STD	STDHsInv0015BP2HG18	2720	1586	1545	3	1545	1	errorMatches
HsInv0016	INV	INVHsInv0016BP1HuRef	20531	4626	0	4508	4508	1	
HsInv0016	INV	INVHsInv0016BP2HuRef	13776	3677	0	3609	3609	0.800576752440107	
HsInv0016	STD	STDHsInv0016BP1HG18	2358	658	637	0	637	0.904829545454545	
HsInv0016	STD	STDHsInv0016BP2HG18	2385	724	704	0	704	1	
HsInv0041	INV	INVHsInv0041BP1HuRef	6548	1410	0	1390	1390	0.896774193548387	
HsInv0041	INV	INVHsInv0041BP2HuRef	8348	1587	0	1550	1550	1	
HsInv0041	STD	STDHsInv0041BP1HG18	4943	1679	1629	0	1629	1	
HsInv0041	STD	STDHsInv0041BP2HG18	9866	1066	697	341	692	0.424800491098834	errorMatches
HsInv0044	INV	INVHsInv0044BP1HuRef	11532	7775	0	7624	7624	1	
HsInv0044	INV	INVHsInv0044BP2HuRef	16120	6607	0	6471	6471	0.848767051416579	
HsInv0044	STD	STDHsInv0044BP1HG18	0	0	0	0	0	NA	emptyRef,failedDetection
HsInv0044	STD	STDHsInv0044BP2HG18	1	0	0	0	0	NA	emptyRef,allFiltered
HsInv0058	INV	INVHsInv0058BP1HuRef	8788	3500	0	3432	3432	0.947804473902237	
HsInv0058	INV	INVHsInv0058BP2HuRef	11677	3694	0	3621	3621	1	
HsInv0058	STD	STDHsInv0058BP1HG18	10146	2044	2001	0	2001	1	
HsInv0058	STD	STDHsInv0058BP2HG18	8087	1967	1919	2	1919	0.959020489755122	errorMatches
HsInv0059	INV	INVHsInv0059BP1HuRef	4604	3284	0	3198	3198	0.874009292156327	
HsInv0059	INV	INVHsInv0059BP2HuRef	9620	3743	0	3659	3659	1	
HsInv0059	STD	STDHsInv0059BP1HG18	2046	1258	1216	0	1216	1	
HsInv0059	STD	STDHsInv0059BP2HG18	6517	1227	1184	1	1184	0.973684210526316	errorMatches
HsInv0060	INV	INVHsInv0060BP1HuRef	6704	2905	0	2826	2826	1	
HsInv0060	INV	INVHsInv0060BP2HuRef	2751	1678	0	1620	1620	0.573248407643312	
HsInv0060	STD	STDHsInv0060BP1HG18	4480	2243	2214	0	2214	1	
HsInv0060	STD	STDHsInv0060BP2HG18	10531	2129	2093	3	2093	0.945347786811201	errorMatches
HsInv0068	INV	INVHsInv0068BP1HuRef	13	5	0	5	5	0.00184569952011812	
HsInv0068	INV	INVHsInv0068BP2HuRef	40	19	0	18	18	0.00664451827242525	
HsInv0068	INV	INVHsInv0068BP3NA19240v2	4185	2770	0	2709	2709	1	
HsInv0068	INV	INVHsInv0068BP4NA19240v2	3979	2708	0	2639	2639	0.974160206718346	
HsInv0068	STD	STDHsInv0068BP1HG18	1455	670	659	0	659	1	
HsInv0068	STD	STDHsInv0068BP2HG18	1006	599	595	0	595	0.90288315629742	
HsInv0081	INV	INVHsInv0081BP1HuRef	5862	1612	0	1569	1569	0.946891973445987	
HsInv0081	INV	INVHsInv0081BP2HuRef	6399	1717	0	1657	1657	1	
HsInv0081	STD	STDHsInv0081BP1HG18	4862	2185	2136	0	2136	0.881188118811881	
HsInv0081	STD	STDHsInv0081BP2HG18	6061	2473	2424	6	2424	1	errorMatches
HsInv0091	INV	INVHsInv0091BP2HuRef	9361	3789	0	3720	3720	1	
HsInv0091	INV	INVHsInv0091BP3HuRef	11999	3248	0	3187	3187	0.856720430107527	
HsInv0091	STD	STDHsInv0091BP1HG38	17066	5894	5760	0	5760	0.9	
HsInv0091	STD	STDHsInv0091BP2HG38	25201	6563	6400	1	6400	1	errorMatches
HsInv0092	INV	INVHsInv0092BP1NA19240	2047	832	0	822	822	0.873538788522848	
HsInv0092	INV	INVHsInv0092BP2NA19240	1519	960	0	941	941	1	
HsInv0092	STD	STDHsInv0092BP1HG18	8006	4782	4656	0	4656	1	
HsInv0092	STD	STDHsInv0092BP2HG18	5437	3176	3100	4	3100	0.665807560137457	errorMatches
HsInv0095	INV	INVHsInv0095BP1NA19129	2693	1181	0	1164	1164	0.229676400947119	
HsInv0095	INV	INVHsInv0095BP2NA19240	9127	5159	0	5068	5068	1	
HsInv0095	STD	STDHsInv0095BP1HG18	3396	1178	1147	1	1147	0.941707717569787	errorMatches
HsInv0095	STD	STDHsInv0095BP2HG18	2545	1244	1218	6	1218	1	errorMatches
HsInv0097	INV	INVHsInv0097BP1NA15510	880	22	0	22	22	1	
HsInv0097	INV	INVHsInv0097BP2NA15510	6023	19	0	19	19	0.863636363636364	
HsInv0097	STD	STDHsInv0097BP1HG18	16358	5473	5356	0	5356	0.890144590327406	
HsInv0097	STD	STDHsInv0097BP2HG18	17266	6145	6017	3	6017	1	errorMatches
HsInv0098	INV	INVHsInv0098BP1NA19240	2883	1035	0	1011	1011	1	
