inversion	orientation	probe	count.ini	count.fil	count.xun	count.uni	count.qc	efficiency.check	diagnosis
HsInv0004	INV	INVHsInv0004BP1HuRef	2998	2537	0	2537	2537	1	
HsInv0004	INV	INVHsInv0004BP2HuRef	2976	2474	0	2474	2474	0.975167520693733	
HsInv0004	STD	STDHsInv0004BP1HG18	14962	11406	11406	0	11406	1	
HsInv0004	STD	STDHsInv0004BP2HG18	12853	9387	9387	0	9387	0.822987901104682	
HsInv0006	INV	INVHsInv0006BP1HuRef	8299	7493	51	7442	7442	1	errorMatches
HsInv0006	INV	INVHsInv0006BP2HuRef	5704	5704	320	5384	5384	0.723461435098092	errorMatches
HsInv0006	STD	STDHsInv0006BP1HG18	6314	4682	4682	0	4682	1	
HsInv0006	STD	STDHsInv0006BP2HG18	4935	4028	4028	0	4028	0.860316104228962	
HsInv0015	INV	INVHsInv0015BP1HuRef	13060	10024	0	10024	10024	1	
HsInv0015	INV	INVHsInv0015BP2HuRef	10670	8590	0	8590	8590	0.856943335993615	
HsInv0015	STD	STDHsInv0015BP2HG18	4483	3289	3289	0	3289	1	
HsInv0016	INV	INVHsInv0016BP1HuRef	18759	15243	0	15243	15243	0.983165634674923	
HsInv0016	INV	INVHsInv0016BP2HuRef	19634	15504	0	15504	15504	1	
HsInv0016	STD	STDHsInv0016BP1HG18	1459	971	971	0	971	0.918637653736991	
HsInv0016	STD	STDHsInv0016BP2HG18	1390	1057	1057	0	1057	1	
HsInv0041	INV	INVHsInv0041BP1HuRef	8423	7236	0	7236	7236	0.968285828984344	
HsInv0041	INV	INVHsInv0041BP2HuRef	8527	7473	0	7473	7473	1	
HsInv0041	STD	STDHsInv0041BP1HG18	6725	5534	5534	0	5534	1	
HsInv0041	STD	STDHsInv0041BP2HG18	6005	4134	3931	203	3931	0.710336104083845	errorMatches
HsInv0044	INV	INVHsInv0044BP1HuRef	26170	22745	0	22745	22745	1	
HsInv0044	INV	INVHsInv0044BP2HuRef	25728	21308	0	21308	21308	0.936821279402066	
HsInv0044	STD	STDHsInv0044BP1HG18	0	0	0	0	0	NA	emptyRef,failedDetection
HsInv0044	STD	STDHsInv0044BP2HG18	0	0	0	0	0	NA	emptyRef,failedDetection
HsInv0058	INV	INVHsInv0058BP1HuRef	4599	3340	0	3340	3340	0.43404808317089	
HsInv0058	INV	INVHsInv0058BP2HuRef	8670	7695	0	7695	7695	1	
HsInv0058	STD	STDHsInv0058BP1HG18	7247	5233	5233	0	5233	1	
HsInv0058	STD	STDHsInv0058BP2HG18	6220	4422	4417	5	4417	0.844066501051022	errorMatches
HsInv0059	INV	INVHsInv0059BP1HuRef	15445	13431	0	13431	13431	1	
HsInv0059	INV	INVHsInv0059BP2HuRef	9060	7690	0	7690	7690	0.572556027101482	
HsInv0059	STD	STDHsInv0059BP1HG18	6223	4778	4778	0	4778	1	
HsInv0059	STD	STDHsInv0059BP2HG18	5917	4488	4488	0	4488	0.93930514859774	
HsInv0060	INV	INVHsInv0060BP1HuRef	12178	9994	0	9994	9994	1	
HsInv0060	INV	INVHsInv0060BP2HuRef	5943	5075	0	5075	5075	0.507804682809686	
HsInv0060	STD	STDHsInv0060BP1HG18	6604	4615	4615	0	4615	0.877209655958943	
HsInv0060	STD	STDHsInv0060BP2HG18	7805	5262	5261	1	5261	1	errorMatches
HsInv0068	INV	INVHsInv0068BP1HuRef	10582	9002	0	9002	9002	0.793687180391465	
HsInv0068	INV	INVHsInv0068BP2HuRef	14351	10291	0	10291	10291	0.907335566919415	
HsInv0068	INV	INVHsInv0068BP3NA19240v2	11299	9830	0	9830	9830	0.866690178099101	
HsInv0068	INV	INVHsInv0068BP4NA19240v2	17081	11342	0	11342	11342	1	
HsInv0068	STD	STDHsInv0068BP1HG18	1459	1096	1096	0	1096	1	
HsInv0068	STD	STDHsInv0068BP2HG18	1326	1021	1021	0	1021	0.931569343065693	
HsInv0081	INV	INVHsInv0081BP1HuRef	6457	5754	0	5754	5754	0.960921843687375	
HsInv0081	INV	INVHsInv0081BP2HuRef	6779	5988	0	5988	5988	1	
HsInv0081	STD	STDHsInv0081BP1HG18	5784	4803	4803	0	4803	0.950524440926182	
HsInv0081	STD	STDHsInv0081BP2HG18	5987	5054	5053	1	5053	1	errorMatches
HsInv0091	INV	INVHsInv0091BP2HuRef	14032	10420	0	10420	10420	1	
HsInv0091	INV	INVHsInv0091BP3HuRef	10486	8524	0	8524	8524	0.818042226487524	
HsInv0091	STD	STDHsInv0091BP1HG38	17976	11986	11986	0	11986	0.931892396205878	
HsInv0091	STD	STDHsInv0091BP2HG38	20460	12862	12862	0	12862	1	
HsInv0092	INV	INVHsInv0092BP1NA19240	3019	2463	0	2463	2463	0.990748189863234	
HsInv0092	INV	INVHsInv0092BP2NA19240	2987	2486	0	2486	2486	1	
HsInv0092	STD	STDHsInv0092BP1HG18	12873	9442	9442	0	9442	1	
HsInv0092	STD	STDHsInv0092BP2HG18	10987	8359	8359	0	8359	0.885299724634611	
HsInv0095	INV	INVHsInv0095BP1NA19129	8714	6688	0	6688	6688	0.440521670399157	
HsInv0095	INV	INVHsInv0095BP2NA19240	18172	15182	0	15182	15182	1	
HsInv0095	STD	STDHsInv0095BP1HG18	3357	2462	2461	1	2461	0.971191791633781	errorMatches
HsInv0095	STD	STDHsInv0095BP2HG18	3656	2534	2534	0	2534	1	
HsInv0097	INV	INVHsInv0097BP1NA15510	314	51	0	51	51	1	
HsInv0097	INV	INVHsInv0097BP2NA15510	458	48	0	48	48	0.941176470588235	
HsInv0097	STD	STDHsInv0097BP1HG18	14979	11410	11410	0	11410	0.952738810955244	
HsInv0097	STD	STDHsInv0097BP2HG18	15973	11977	11976	1	11976	1	errorMatches
HsInv0098	INV	INVHsInv0098BP1NA19240	2796	2413	0	2413	2413	1	
HsInv0098	INV	INVHsInv0098BP2NA19240	5218	2600	1368	1232	1232	0.510567757977621	errorMatches
HsInv0098	STD	STDHsInv0098BP1HG18	14573	11384	11380	4	11380	1	errorMatches
HsInv0098	STD	STDHsInv0098BP2HG18	13238	9438	9438	0	9437	0.829261862917399	
HsInv0102	INV	INVHsInv0102BP1NA12156	2496	1637	0	1637	1637	0.564677474991376	
HsInv0102	INV	INVHsInv0102BP2NA12156	3697	2899	0	2899	2899	1	
HsInv0102	STD	STDHsInv0102BP1HG18	12066	9143	9143	0	9143	1	
