inversion	orientation	probe	count.ini	count.fil	count.xun	count.uni	count.qc	efficiency.check	diagnosis
HsInv0004	INV	INVHsInv0004BP1HuRef	401	227	0	227	227	1	
HsInv0004	INV	INVHsInv0004BP2HuRef	370	207	0	207	207	0.911894273127753	
HsInv0004	STD	STDHsInv0004BP1HG18	2645	1653	1653	0	1653	1	
HsInv0004	STD	STDHsInv0004BP2HG18	2619	1596	1596	0	1596	0.96551724137931	
HsInv0006	INV	INVHsInv0006BP1HuRef	989	544	3	541	541	1	errorMatches
HsInv0006	INV	INVHsInv0006BP2HuRef	498	498	63	435	435	0.804066543438078	errorMatches
HsInv0006	STD	STDHsInv0006BP1HG18	1994	946	946	0	946	1	
HsInv0006	STD	STDHsInv0006BP2HG18	1715	791	791	0	791	0.83615221987315	
HsInv0015	INV	INVHsInv0015BP1HuRef	3901	1149	0	1149	1149	0.998262380538662	
HsInv0015	INV	INVHsInv0015BP2HuRef	3455	1151	0	1151	1151	1	
HsInv0015	STD	STDHsInv0015BP2HG18	980	571	570	1	570	1	errorMatches
HsInv0016	INV	INVHsInv0016BP1HuRef	7177	1532	0	1532	1532	1	
HsInv0016	INV	INVHsInv0016BP2HuRef	4767	1216	0	1216	1216	0.793733681462141	
HsInv0016	STD	STDHsInv0016BP1HG18	560	154	154	0	154	1	
HsInv0016	STD	STDHsInv0016BP2HG18	524	154	154	0	154	1	
HsInv0041	INV	INVHsInv0041BP1HuRef	2178	407	0	407	407	0.86228813559322	
HsInv0041	INV	INVHsInv0041BP2HuRef	2962	472	0	472	472	1	
HsInv0041	STD	STDHsInv0041BP1HG18	1770	587	587	0	587	1	
HsInv0041	STD	STDHsInv0041BP2HG18	3960	357	230	127	227	0.386712095400341	errorMatches
HsInv0044	INV	INVHsInv0044BP1HuRef	3883	2567	0	2567	2567	1	
HsInv0044	INV	INVHsInv0044BP2HuRef	5503	2212	0	2212	2212	0.861706271912739	
HsInv0044	STD	STDHsInv0044BP1HG18	0	0	0	0	0	NA	emptyRef,failedDetection
HsInv0044	STD	STDHsInv0044BP2HG18	1	0	0	0	0	NA	emptyRef,allFiltered
HsInv0058	INV	INVHsInv0058BP1HuRef	2790	1022	0	1022	1022	0.848837209302326	
HsInv0058	INV	INVHsInv0058BP2HuRef	4112	1204	0	1204	1204	1	
HsInv0058	STD	STDHsInv0058BP1HG18	3897	782	782	0	782	1	
HsInv0058	STD	STDHsInv0058BP2HG18	3058	732	731	1	731	0.934782608695652	errorMatches
HsInv0059	INV	INVHsInv0059BP1HuRef	1300	959	0	959	959	0.925675675675676	
HsInv0059	INV	INVHsInv0059BP2HuRef	2710	1036	0	1036	1036	1	
HsInv0059	STD	STDHsInv0059BP1HG18	978	578	578	0	578	1	
HsInv0059	STD	STDHsInv0059BP2HG18	2557	571	570	1	570	0.986159169550173	errorMatches
HsInv0060	INV	INVHsInv0060BP1HuRef	2039	868	0	868	868	1	
HsInv0060	INV	INVHsInv0060BP2HuRef	845	486	0	486	486	0.559907834101382	
HsInv0060	STD	STDHsInv0060BP1HG18	1520	741	741	0	741	1	
HsInv0060	STD	STDHsInv0060BP2HG18	3559	675	675	0	675	0.910931174089069	
HsInv0068	INV	INVHsInv0068BP1HuRef	5	1	0	1	1	0.00108459869848156	
HsInv0068	INV	INVHsInv0068BP2HuRef	18	9	0	9	9	0.00976138828633406	
HsInv0068	INV	INVHsInv0068BP3NA19240v2	1385	912	0	912	912	0.989154013015184	
HsInv0068	INV	INVHsInv0068BP4NA19240v2	1343	922	0	922	922	1	
HsInv0068	STD	STDHsInv0068BP1HG18	421	214	214	0	214	1	
HsInv0068	STD	STDHsInv0068BP2HG18	287	167	167	0	167	0.780373831775701	
HsInv0081	INV	INVHsInv0081BP1HuRef	1992	501	0	501	501	0.872822299651568	
HsInv0081	INV	INVHsInv0081BP2HuRef	2220	574	0	574	574	1	
HsInv0081	STD	STDHsInv0081BP1HG18	1636	728	728	0	728	0.920353982300885	
HsInv0081	STD	STDHsInv0081BP2HG18	2103	794	791	3	791	1	errorMatches
HsInv0091	INV	INVHsInv0091BP2HuRef	3330	1256	0	1256	1256	1	
HsInv0091	INV	INVHsInv0091BP3HuRef	3901	1018	0	1018	1018	0.810509554140127	
HsInv0091	STD	STDHsInv0091BP1HG38	5552	1898	1898	0	1898	0.974332648870637	
HsInv0091	STD	STDHsInv0091BP2HG38	8305	1948	1948	0	1948	1	
HsInv0092	INV	INVHsInv0092BP1NA19240	573	218	0	218	218	0.886178861788618	
