inversion	orientation	probe	count.ini	count.fil	count.xun	count.uni	count.qc	efficiency.check	diagnosis
HsInv0004	INV	INVHsInv0004BP1HuRef	87	74	0	2537	2537	1	
HsInv0004	INV	INVHsInv0004BP2HuRef	123	96	0	2474	2474	0.975167520693733	
HsInv0004	STD	STDHsInv0004BP1HG18	247	193	11406	0	11406	1	
HsInv0004	STD	STDHsInv0004BP2HG18	160	110	9387	0	9387	0.822987901104682	
HsInv0006	INV	INVHsInv0006BP1HuRef	171	144	51	7442	7442	1	errorMatches
HsInv0006	INV	INVHsInv0006BP2HuRef	112	112	320	5384	5384	0.723461435098092	errorMatches
HsInv0006	STD	STDHsInv0006BP1HG18	65	49	4682	0	4682	1	
HsInv0006	STD	STDHsInv0006BP2HG18	50	38	4028	0	4028	0.860316104228962	
HsInv0015	INV	INVHsInv0015BP1HuRef	144	112	0	10024	10024	1	
HsInv0015	INV	INVHsInv0015BP2HuRef	129	96	0	8590	8590	0.856943335993615	
HsInv0015	STD	STDHsInv0015BP2HG18	131	104	3289	0	3289	1	
HsInv0016	INV	INVHsInv0016BP1HuRef	368	294	0	15243	15243	0.983165634674923	
HsInv0016	INV	INVHsInv0016BP2HuRef	360	278	0	15504	15504	1	
HsInv0016	STD	STDHsInv0016BP1HG18	0	0	971	0	971	0.918637653736991	failedDetection
HsInv0016	STD	STDHsInv0016BP2HG18	0	0	1057	0	1057	1	failedDetection
HsInv0041	INV	INVHsInv0041BP1HuRef	170	147	0	7236	7236	0.968285828984344	
HsInv0041	INV	INVHsInv0041BP2HuRef	152	128	0	7473	7473	1	
HsInv0041	STD	STDHsInv0041BP1HG18	83	69	5534	0	5534	1	
HsInv0041	STD	STDHsInv0041BP2HG18	83	60	3922	212	3922	0.708709794000723	errorMatches
HsInv0044	INV	INVHsInv0044BP1HuRef	416	364	0	22745	22745	1	
HsInv0044	INV	INVHsInv0044BP2HuRef	435	352	0	21308	21308	0.936821279402066	
HsInv0044	STD	STDHsInv0044BP1HG18	0	0	0	0	0	NA	emptyRef,failedDetection
HsInv0044	STD	STDHsInv0044BP2HG18	0	0	0	0	0	NA	emptyRef,failedDetection
HsInv0058	INV	INVHsInv0058BP1HuRef	72	44	27	3313	3313	0.430819245773732	errorMatches
HsInv0058	INV	INVHsInv0058BP2HuRef	179	161	5	7690	7690	1	errorMatches
HsInv0058	STD	STDHsInv0058BP1HG18	93	57	0	5233	0	NA	emptyRef,failedQC,errorMatches
HsInv0058	STD	STDHsInv0058BP2HG18	95	58	0	4422	0	NA	emptyRef,failedQC,errorMatches
HsInv0059	INV	INVHsInv0059BP1HuRef	199	173	0	13431	13431	1	
HsInv0059	INV	INVHsInv0059BP2HuRef	97	85	0	7690	7690	0.572556027101482	
HsInv0059	STD	STDHsInv0059BP1HG18	113	87	4778	0	4778	1	
HsInv0059	STD	STDHsInv0059BP2HG18	112	89	4488	0	4488	0.93930514859774	
HsInv0060	INV	INVHsInv0060BP1HuRef	223	193	0	9994	9994	1	
HsInv0060	INV	INVHsInv0060BP2HuRef	105	91	0	5075	5075	0.507804682809686	
HsInv0060	STD	STDHsInv0060BP1HG18	98	65	4615	0	4615	0.877376425855513	
