Inversion	Numinds.with.ref	Percentage.Different GType	Percentage.Same GType	Percentage.Filter (few reads)	Numinds.geno.break	Reads.Min	Reads.Median	Reads.Mean	Reads.Max	QualityTest
HsInv0004	187	0	100	0	414	26	58	62.3285024154589	126	
HsInv0006	188	0	99.468085106383	0.531914893617021	414	15	51	52.0193236714976	111	
HsInv0015	92	0	100	0	414	11	51	52.9057971014493	112	
HsInv0016	92	0	98.9130434782609	1.08695652173913	414	37	77	79.1666666666667	160	High read count
HsInv0041	188	0	100	0	414	25	56	58.3913043478261	135	
HsInv0044	NA	NA	NA	NA	414	55	105	106.408212560386	189	High read count
HsInv0058	187	0	100	0	414	21	48.5	49.963768115942	94	
HsInv0059	188	0	100	0	414	33	71	73.3985507246377	160	
HsInv0060	91	0	100	0	414	32	58	60.2536231884058	149	
HsInv0068	187	0	100	0	414	42	103	102.855072463768	184	High read count
HsInv0081	92	0	100	0	414	16	50	52.1690821256039	138	
HsInv0091	92	0	100	0	414	58	102	105.777777777778	181	High read count
HsInv0092	188	0	100	0	414	27	52	54.951690821256	129	
HsInv0095	188	0	100	0	414	31	63	64.8913043478261	141	
HsInv0097	188	0	100	0	414	31	56	56.7270531400966	115	
HsInv0098	188	0	99.468085106383	0.531914893617021	414	33	58	59.0869565217391	131	
HsInv0102	188	0	100	0	414	28	53	54.8188405797101	101	
HsInv0105	188	0	100	0	414	37	77	79.5024154589372	167	
HsInv0113	96	2.08333333333333	97.9166666666667	0	414	11	26	30.0193236714976	159	
HsInv0141	92	0	100	0	414	28	53	54.9251207729469	115	
HsInv0156	110	0	100	0	414	27	55	59.7512077294686	211	
HsInv0163	119	0	100	0	414	28	54	58.2004830917874	163	
HsInv0164	90	0	100	0	414	28	52	54.3212560386473	144	
HsInv0174	92	1.08695652173913	98.9130434782609	0	414	22	52	53.8212560386473	111	
HsInv0181	89	0	98.876404494382	1.12359550561798	414	25	47	49.048309178744	94	
HsInv0191	92	1.08695652173913	97.8260869565217	1.08695652173913	414	35	77	80.3067632850242	198	
HsInv0201	188	0.531914893617021	98.936170212766	0.531914893617021	414	29	69	71.4855072463768	171	
HsInv0212	92	0	100	0	414	31	59	61.7512077294686	134	
HsInv0213	NA	NA	NA	NA	414	34	55	57.1183574879227	112	
HsInv0260	188	0	100	0	414	10	29	30.8091787439614	90	
HsInv0284	187	0	100	0	414	28	53	54.6521739130435	128	
HsInv0379	193	0	100	0	414	25	47	48.207729468599	99	
HsInv0409	188	0	100	0	414	15	41	42.3357487922705	108	
HsInv0442	92	0	100	0	414	35	75.5	78.2874396135266	172	
HsInv0553	92	0	100	0	414	14	32.5	32.8478260869565	59	
HsInv0901	91	0	100	0	414	11	29	29.5555555555556	64	
HsInv0960	92	0	100	0	414	28	57	60.0579710144928	118	
HsInv0965	113	0	100	0	414	31	59	62.6111111111111	136	
HsInv0989	92	0	100	0	414	29	54.5	54.8647342995169	106	
HsInv0991	92	0	100	0	414	28	71	71.9130434782609	157	
HsInv1053	188	0	100	0	414	31	76	75.9710144927536	191	
HsInv1065	92	0	100	0	414	39	106	106.968599033816	194	High read count
HsInv1066	122	0	100	0	414	35	55	56.292270531401	113	
HsInv1070	121	0	100	0	414	28	49	50.0966183574879	86	
HsInv1075	119	0.840336134453782	95.7983193277311	3.36134453781513	414	31	60	61.3985507246377	121	
HsInv1116	188	0	100	0	414	37	93	94.4082125603865	216	High read count
HsInv1122	67	0	100	0	414	2	76	85.926267281106	270	
HsInv1127	92	0	100	0	414	17	44	45.7850241545894	119	
HsInv1128	92	0	100	0	414	31	54	55.8454106280193	116	
HsInv1129	94	0	100	0	414	23	45.5	47.1932367149758	115	
HsInv1143	92	0	100	0	414	36	62	64.1425120772947	134	
HsInv1222	91	0	100	0	414	24	50	52.0434782608696	101	
HsInv1256	92	0	100	0	414	34	59	61.6787439613527	155	
HsInv1258	92	0	100	0	414	35	62	66.1304347826087	138	
HsInv1263	92	0	100	0	414	28	52	52.719806763285	86	
HsInv1264	93	0	100	0	414	12	28	28.1908212560386	70	
HsInv1306	92	0	100	0	414	64	110	111.072463768116	250	High read count
HsInv1314	92	0	100	0	414	28	54	55.8260869565217	123	
HsInv1321	90	0	96.6666666666667	3.33333333333333	414	32	59	60.56038647343	117	
HsInv1348	91	0	100	0	414	20	58	61.4927536231884	139	
HsInv1358	92	0	100	0	414	33	62	64.256038647343	129	
HsInv1360	96	0	100	0	414	28	53	54.0869565217391	134	
HsInv1402	92	0	100	0	414	37	61	62.0096618357488	120	
HsInv1421	92	0	100	0	414	41	65	66.2753623188406	135	
HsInv1427	92	0	100	0	414	27	53	55.0628019323672	133	
HsInv1474	91	0	100	0	414	19	42	44.3719806763285	102	
