INV	TYPE	N_SAMPLES_F0.03	max_SNP_0.03	LD_max_SNP0.03
HsInv0004	Polymorphic	0		
HsInv0006	Polymorphic	0		
HsInv0015	Polymorphic	0		
HsInv0016	Polymorphic	0		
HsInv0041	Polymorphic	0		
HsInv0044	Polymorphic	0		
HsInv0058	Polymorphic	0		
HsInv0059	Polymorphic	0		
HsInv0060	Polymorphic	0		
HsInv0068	Polymorphic	0		
HsInv0081	Polymorphic	0		
HsInv0091	Polymorphic	0		
HsInv0092	Polymorphic	0		
HsInv0095	Polymorphic	0		
HsInv0097	Polymorphic	0		
HsInv0098	Polymorphic	0		
HsInv0102	Polymorphic	0		
HsInv0105	Polymorphic	0		
HsInv0113	Polymorphic	0		
HsInv0141	Polymorphic	0		
HsInv0156	Polymorphic	0		
HsInv0163	Polymorphic	0		
HsInv0164	Polymorphic	0		
HsInv0174	Polymorphic	0		
HsInv0181	Polymorphic	0		
HsInv0191	Polymorphic	0		
HsInv0200	Polymorphic	0		
HsInv0201	Polymorphic	0		
HsInv0212	Polymorphic	0		
HsInv0213	Polymorphic	0		
HsInv0260	Polymorphic	0		
HsInv0284	Polymorphic	0		
HsInv0379	Polymorphic	0		
HsInv0409	Polymorphic	0		
HsInv0442	Polymorphic	0		
HsInv0553	Polymorphic	0		
HsInv0901	Polymorphic	0		
HsInv0960	Polymorphic	0		
HsInv0965	Polymorphic	0		
HsInv0989	Polymorphic	0		
HsInv0991	Polymorphic	0		
HsInv1053	Polymorphic	0		
HsInv1065	Polymorphic	0		
HsInv1066	Polymorphic	0		
HsInv1070	Polymorphic	0		
HsInv1075	Polymorphic	0		
HsInv1116	Polymorphic	0		
HsInv1122	Polymorphic	0		
HsInv1127	Polymorphic	0		
HsInv1128	Polymorphic	0		
HsInv1129	Polymorphic	0		
HsInv1143	Polymorphic	0		
HsInv1222	Polymorphic	0		
HsInv1256	Polymorphic	0		
HsInv1258	Polymorphic	0		
HsInv1263	Polymorphic	0		
HsInv1264	Polymorphic	0		
HsInv1306	Polymorphic	0		
HsInv1314	Polymorphic	0		
HsInv1321	Polymorphic	0		
HsInv1348	Polymorphic	0		
HsInv1358	Polymorphic	0		
HsInv1360	Polymorphic	0		
HsInv1402	Polymorphic	0		
HsInv1421	Polymorphic	0		
HsInv1427	Polymorphic	0		
HsInv1474	Polymorphic	0		
HsInv1569	Polymorphic	0		
HsInv1590	Polymorphic	0		
HsInv1785	Polymorphic	0		
HsInv1790	Polymorphic	0		
HsInv1798	Polymorphic	0		
HsInv1808	Polymorphic	0		
HsInv1819	Polymorphic	0		
HsInv1820	Polymorphic	0		
HsInv1838	Polymorphic	0		
HsInv1848	Polymorphic	0		
HsInv1867	Polymorphic	0		
HsInv1868	Polymorphic	0		
HsInv1874	Polymorphic	0		
HsInv1875	Polymorphic	0		
HsOta1141	Polymorphic	0		
HsOtb1141	Polymorphic	0		
HsOtb1874	Polymorphic	0		
HsOth0154	Polymorphic	0		
HsOth0170	Polymorphic	0		
HsOth0171	Polymorphic	0		
HsOth0178	Polymorphic	0		
HsOth0182	Polymorphic	0		
HsOth0186	Polymorphic	0		
HsOth0190	Polymorphic	0		
HsOth0211	Polymorphic	0		
HsOth0224	Polymorphic	0		
HsOth0310	Polymorphic	0		
HsOth0335	Polymorphic	0		
HsOth0463	Polymorphic	0		
HsOth0574	Polymorphic	0		
HsOth0589	Polymorphic	0		
HsOth0612	Polymorphic	0		
HsOth0968	Polymorphic	0		
HsOth0987	Polymorphic	0		
HsOth0997	Polymorphic	0		
HsOth1004	Polymorphic	0		
HsOth1013	Polymorphic	0		
HsOth1112	Polymorphic	0		
HsOth1122	Polymorphic	0		
HsOth1130	Polymorphic	0		
HsOth1146	Polymorphic	0		
HsOth1153	Polymorphic	0		
HsOth1216	Polymorphic	0		
HsOth1225	Polymorphic			
HsOth1240	Polymorphic			
HsOth1269	Polymorphic			
HsOth1275	Polymorphic			
HsOth1306	Polymorphic			
HsOth1313	Polymorphic			
HsOth1329	Polymorphic			
HsOth1376	Polymorphic			
HsOth1408	Polymorphic			
HsOth1411	Polymorphic			
HsOth1414	Polymorphic			
HsOth1422	Polymorphic			
HsOth1425	Polymorphic			
HsOth1428	Polymorphic			
HsOth1432	Polymorphic			
HsOth1454	Polymorphic			
HsOth1468	Polymorphic			
HsOth1471	Polymorphic			
HsOth1484	Polymorphic			
HsOth1497	Polymorphic			
HsOth1511	Polymorphic			
HsOth1579	Polymorphic			
HsOth1614	Polymorphic			
HsOth1637	Polymorphic			
HsOth1667	Polymorphic			
HsOth1681	Polymorphic			
HsOth1700	Polymorphic			
HsOth1751	Polymorphic			
HsOth1794	Polymorphic			
HsOth1855	Polymorphic			
HsOth1856	Polymorphic			
HsOth1857	Polymorphic			
HsOth1863	Polymorphic			
HsOth1865	Polymorphic			
