inversion	orientation	probe	count.ini	count.fil	count.xun	count.uni	count.qc	efficiency.check	diagnosis
HsInv0004	INV	INVHsInv0004BP1HuRef	23	0	0	0	0	NA	emptyAlt,allFiltered
HsInv0004	INV	INVHsInv0004BP2HuRef	21	0	0	0	0	NA	emptyAlt,allFiltered
HsInv0004	STD	STDHsInv0004BP1HG18	40	9	9	0	9	1	
HsInv0004	STD	STDHsInv0004BP2HG18	36	5	5	0	5	0.555555555555556	
HsInv0006	INV	INVHsInv0006BP1HuRef	20	0	0	0	0	NA	emptyAlt,allFiltered
HsInv0006	INV	INVHsInv0006BP2HuRef	28	0	0	0	0	NA	emptyAlt,allFiltered
HsInv0006	STD	STDHsInv0006BP1HG18	68	10	10	0	10	0.714285714285714	
HsInv0006	STD	STDHsInv0006BP2HG18	66	14	14	0	14	1	
HsInv0015	INV	INVHsInv0015BP1HuRef	539	0	0	0	0	NA	emptyAlt,allFiltered
HsInv0015	INV	INVHsInv0015BP2HuRef	180	0	0	0	0	NA	emptyAlt,allFiltered
HsInv0015	STD	STDHsInv0015BP2HG18	69	0	0	0	0	NA	emptyRef,allFiltered
HsInv0016	INV	INVHsInv0016BP1HuRef	6747	0	0	0	0	NA	emptyAlt,allFiltered
HsInv0016	INV	INVHsInv0016BP2HuRef	88	0	0	0	0	NA	emptyAlt,allFiltered
HsInv0016	STD	STDHsInv0016BP1HG18	57	0	0	0	0	NA	emptyRef,allFiltered
HsInv0016	STD	STDHsInv0016BP2HG18	33	0	0	0	0	NA	emptyRef,allFiltered
HsInv0041	INV	INVHsInv0041BP1HuRef	88	0	0	0	0	NA	emptyAlt,allFiltered
HsInv0041	INV	INVHsInv0041BP2HuRef	358	0	0	0	0	NA	emptyAlt,allFiltered
HsInv0041	STD	STDHsInv0041BP1HG18	54	4	4	0	4	1	
HsInv0041	STD	STDHsInv0041BP2HG18	27879	0	0	0	0	0	emptyRef,allFiltered
HsInv0044	INV	INVHsInv0044BP1HuRef	27	0	0	0	0	NA	emptyAlt,allFiltered
HsInv0044	INV	INVHsInv0044BP2HuRef	63	0	0	0	0	NA	emptyAlt,allFiltered
HsInv0044	STD	STDHsInv0044BP1HG18	24	0	0	0	0	NA	emptyRef,allFiltered
HsInv0044	STD	STDHsInv0044BP2HG18	36	0	0	0	0	NA	emptyRef,allFiltered
