Inversion	Numinds.with.ref	Percentage.Different GType	Percentage.Same GType	Percentage.Filter (few reads)	Percentage.Filter (0 reads)	Numinds.geno.break	Reads.Min	Reads.Median	Reads.Mean	Reads.Max	QualityTest
HsInv0004	187	0	73.2620320855615	26.2032085561497	0.53475935828877	414	1	8.5	8.93932038834951	28	
HsInv0006	188	0	61.1702127659574	36.1702127659575	2.65957446808511	414	1	6	6.74875621890547	28	
HsInv0015	92	0	53.2608695652174	45.6521739130435	1.08695652173913	414	1	6	7.01711491442543	27	
HsInv0016	92	0	82.6086956521739	16.304347826087	1.08695652173913	414	1	7	7.58312655086849	27	
HsInv0041	188	0.531914893617021	36.7021276595745	53.1914893617021	9.57446808510638	414	1	4	4.4051948051948	17	
HsInv0044	NA	NA	NA	NA	NA	414	1	11	11.5714285714286	32	
HsInv0058	187	0	83.4224598930481	16.0427807486631	0.53475935828877	414	1	8	9.05326876513317	34	
HsInv0059	188	0.531914893617021	72.8723404255319	23.4042553191489	3.19148936170213	414	1	7	7.79900744416873	25	
HsInv0060	91	1.0989010989011	63.7362637362637	32.967032967033	2.1978021978022	414	1	6	6.73965936739659	29	
HsInv0068	187	0.53475935828877	42.2459893048128	55.0802139037433	2.13903743315508	414	1	5	5.52109181141439	32	
HsInv0081	92	0	55.4347826086957	42.3913043478261	2.17391304347826	414	1	6	6.51758793969849	22	
HsInv0091	92	2.17391304347826	93.4782608695652	3.26086956521739	1.08695652173913	414	1	13	14.818401937046	48	
HsInv0092	188	0	73.936170212766	26.063829787234	0	414	1	7	7.56521739130435	29	
HsInv0095	188	0	70.2127659574468	29.2553191489362	0.531914893617021	414	1	6	7.10679611650485	22	
HsInv0097	188	0	85.6382978723404	13.8297872340426	0.531914893617021	414	1	8	9.30750605326877	27	
HsInv0098	188	0	77.1276595744681	22.3404255319149	0.531914893617021	414	1	9	9.48543689320388	29	
HsInv0102	188	0	78.7234042553192	19.6808510638298	1.59574468085106	414	1	8	8.119804400978	22	
HsInv0105	188	1.06382978723404	67.5531914893617	29.2553191489362	2.12765957446809	414	1	6	6.93366093366093	23	
HsInv0113	96	0	65.625	31.25	3.125	414	1	4	4.995	17	
HsInv0141	92	0	81.5217391304348	18.4782608695652	0	414	1	8	8.96350364963504	30	
HsInv0156	110	0	69.0909090909091	27.2727272727273	3.63636363636364	414	1	6	6.77283950617284	21	
HsInv0163	119	0	77.3109243697479	21.0084033613445	1.68067226890756	414	1	7	7.86308068459658	28	
HsInv0164	90	0	74.4444444444444	24.4444444444444	1.11111111111111	414	1	8	8.71393643031785	24	
HsInv0174	92	0	81.5217391304348	18.4782608695652	0	414	1	8	8.37408312958435	26	
HsInv0181	89	0	57.3033707865169	37.0786516853933	5.61797752808989	414	1	6	6.25316455696202	19	
HsInv0191	92	0	79.3478260869565	20.6521739130435	0	414	1	9	9.65458937198068	26	
HsInv0201	188	1.06382978723404	74.468085106383	22.8723404255319	1.59574468085106	414	1	8	8.52682926829268	25	
HsInv0212	92	1.08695652173913	76.0869565217391	22.8260869565217	0	414	1	8	8.72992700729927	27	
HsInv0213	NA	NA	NA	NA	NA	414	1	9	9.88135593220339	31	
HsInv0260	188	0	35.1063829787234	60.1063829787234	4.78723404255319	414	1	4	4.70854271356784	20	
HsInv0284	187	0	72.192513368984	25.668449197861	2.13903743315508	414	1	7	7.24630541871921	22	
HsInv0379	193	0	45.5958549222798	49.2227979274611	5.18134715025907	414	1	4	5.05236907730673	21	
HsInv0409	188	0.531914893617021	44.1489361702128	51.063829787234	4.25531914893617	414	1	5	5.51020408163265	20	
HsInv0442	92	1.08695652173913	76.0869565217391	21.7391304347826	1.08695652173913	414	1	8	8.38669950738916	24	
HsInv0553	92	0	39.1304347826087	57.6086956521739	3.26086956521739	414	1	4	4.58974358974359	15	
HsInv0901	91	0	41.7582417582418	56.043956043956	2.1978021978022	414	1	4	4.84577114427861	24	
HsInv0960	92	0	92.3913043478261	7.60869565217391	0	414	1	9	9.87893462469734	27	
HsInv0965	113	0	70.7964601769911	27.4336283185841	1.76991150442478	414	1	7	7.82309582309582	31	
HsInv0989	92	0	71.7391304347826	28.2608695652174	0	414	1	8	8.0780487804878	24	
HsInv0991	92	0	60.8695652173913	36.9565217391304	2.17391304347826	414	1	6	6.37317073170732	19	
HsInv1053	188	0	75	24.468085106383	0.531914893617021	414	1	7	7.65936739659367	25	
HsInv1065	92	0	90.2173913043478	9.78260869565217	0	414	1	13	13.6328502415459	41	
HsInv1066	122	0	77.8688524590164	21.3114754098361	0.819672131147541	414	1	8	9.16464891041162	28	
HsInv1070	121	0.826446280991736	69.4214876033058	29.7520661157025	0	414	1	6	6.53658536585366	24	
HsInv1075	119	0.840336134453782	65.546218487395	31.0924369747899	2.52100840336134	414	1	7	7.33415233415233	25	
HsInv1116	188	0.531914893617021	79.7872340425532	18.0851063829787	1.59574468085106	414	1	8	8.84107579462103	30	
HsInv1122	67	0	86.5671641791045	11.9402985074627	1.49253731343284	414	1	10	11.9014084507042	48	
HsInv1127	92	0	16.304347826087	61.9565217391304	21.7391304347826	414	1	2	3.08794788273616	11	
HsInv1128	92	0	69.5652173913043	30.4347826086957	0	414	1	7	8.42822384428224	30	
HsInv1129	94	0	32.9787234042553	65.9574468085106	1.06382978723404	414	1	4	4.69642857142857	17	
HsInv1143	92	0	71.7391304347826	28.2608695652174	0	414	1	9	9.32766990291262	29	
HsInv1222	91	0	68.1318681318681	31.8681318681319	0	414	1	7	7.51604938271605	24	
HsInv1256	92	0	89.1304347826087	8.69565217391304	2.17391304347826	414	1	9	9.3495145631068	28	
HsInv1258	92	0	84.7826086956522	14.1304347826087	1.08695652173913	414	1	9	9.20581113801453	28	
HsInv1263	92	2.17391304347826	45.6521739130435	46.7391304347826	5.43478260869565	414	1	6	6.42131979695431	26	
HsInv1264	93	0	49.4623655913978	47.3118279569892	3.2258064516129	414	1	5	5.11358024691358	17	
HsInv1306	92	1.08695652173913	91.304347826087	6.52173913043478	1.08695652173913	414	2	16	17.029197080292	55	High read count
HsInv1314	92	0	76.0869565217391	22.8260869565217	1.08695652173913	414	1	8	8.42822384428224	25	
HsInv1321	90	0	57.7777777777778	40	2.22222222222222	414	1	6	6.86732186732187	28	
HsInv1348	91	0	81.3186813186813	18.6813186813187	0	414	1	9	9.41304347826087	28	
HsInv1358	92	0	76.0869565217391	23.9130434782609	0	414	1	7	7.47073170731707	23	
HsInv1360	96	0	79.1666666666667	20.8333333333333	0	414	1	8	8.21463414634146	23	
HsInv1402	92	0	83.695652173913	15.2173913043478	1.08695652173913	414	1	8	8.36519607843137	25	
HsInv1421	92	0	84.7826086956522	15.2173913043478	0	414	1	10	11.2224938875306	51	
HsInv1427	92	0	81.5217391304348	17.3913043478261	1.08695652173913	414	1	9	9.47317073170732	30	
HsInv1474	91	0	53.8461538461538	45.0549450549451	1.0989010989011	414	1	4	4.91770573566085	16	
HsInv1569	92	0	78.2608695652174	20.6521739130435	1.08695652173913	414	1	8	8.74029126213592	26	
HsInv1590	92	1.08695652173913	79.3478260869565	19.5652173913043	0	414	1	8	8.40731707317073	29	
HsInv1785	91	0	82.4175824175824	17.5824175824176	0	414	1	8	8.08232445520581	22	
HsInv1790	93	0	86.0215053763441	13.9784946236559	0	414	1	9	9.02421307506053	25	
HsInv1798	91	3.2967032967033	29.6703296703297	61.5384615384615	5.49450549450549	414	1	3	3.67750677506775	13	
HsInv1808	NA	NA	NA	NA	NA	414	1	8	8.15085158150852	23	
HsInv1819	93	0	72.0430107526882	26.8817204301075	1.0752688172043	414	1	6	7.2078239608802	23	
